date,state,positive,posNeg
20200629,HI,899.0,77155
20200629,IA,28782.0,300845
20200629,ID,5319.0,86345
20200629,IL,143514.0,1572949
20200629,IN,45228.0,476519
20200629,KS,14443.0,176725
20200629,KY,15347.0,361441
20200629,LA,57081.0,704637
20200629,MA,108768.0,842287
20200629,MD,67254.0,529313
20200629,ME,3219.0,93523
20200629,MI,70223.0,1029375
20200629,MN,35861.0,592955
20200629,MO,21043.0,367406
20200629,MS,26567.0,283522
20200629,MT,919.0,88743
20200629,NC,63484.0,886305
20200629,ND,3539.0,105691
20200629,NE,18899.0,175272
20200629,NH,5760.0,118298
20200629,NJ,171272.0,1403984
20200629,NM,11809.0,331048
20200629,NV,17894.0,273017
20200629,NY,392930.0,3862913
20200629,OH,51046.0,774382
20200629,OK,13172.0,326193
20200629,OR,8485.0,235133
20200629,PA,85988.0,752889
20200629,RI,16764.0,238520
20200629,SC,34644.0,369305
20200629,SD,6716.0,79457
20200629,TN,42297.0,777206
20200629,TX,153011.0,1819189
20200629,UT,21664.0,333905
20200629,VA,62189.0,636372
20200629,VT,1208.0,64993
20200629,WA,31752.0,534443
20200629,WI,31033.0,558392
20200629,WV,2870.0,169655
20200629,WY,1450.0,31856
20200628,AK,883.0,108300
20200628,AL,35441.0,386280
20200628,AR,19310.0,291222
20200628,AZ,73908.0,509896
20200628,CA,211243.0,3955952
20200628,CO,32022.0,313711
20200628,CT,46303.0,438623
20200628,DE,11226.0,106346
20200628,FL,141075.0,1881897
20200628,GA,77210.0,806938
20200628,HI,872.0,75478
20200628,IA,28489.0,295915
20200628,ID,5319.0,86345
20200628,IL,142776.0,1546031
20200628,IN,44930.0,470535
20200628,KS,13538.0,167859
20200628,KY,15232.0,358491
20200628,LA,56236.0,696111
20200628,MA,108667.0,835794
20200628,MD,66777.0,519473
20200628,ME,3191.0,93495
20200628,MI,69946.0,1016679
20200628,MN,35549.0,585417
20200628,MO,20575.0,361173
20200628,MS,25892.0,280188
20200628,MT,863.0,82474
20200628,NC,62142.0,871905
20200628,ND,3495.0,103925
20200628,NE,18775.0,172798
20200628,NH,5717.0,116109
20200628,NJ,171182.0,1387833
20200628,NM,11619.0,322959
20200628,NV,17160.0,267580
20200628,NY,392539.0,3816485
20200628,OH,50309.0,756765
20200628,OK,12994.0,326015
20200628,OR,8341.0,217391
20200628,PA,85496.0,742982
20200628,RI,16661.0,230508
20200628,SC,33320.0,359802
20200628,SD,6681.0,78893
20200628,TN,40172.0,748553
20200628,TX,148728.0,1775219
20200628,UT,21100.0,328449
20200628,VA,61736.0,628328
20200628,VT,1202.0,63865
20200628,WA,31404.0,525802
20200628,WI,30707.0,552454
20200628,WV,2817.0,166508
20200628,WY,1417.0,31823
20200627,AK,854.0,105581
20200627,AL,35083.0,384026
20200627,AR,18740.0,283965
20200627,AZ,70051.0,494747
20200627,CA,206433.0,3862310
20200627,CO,31796.0,307583
20200627,CT,46206.0,429548
20200627,DE,11091.0,104262
20200627,FL,132545.0,1829525
20200627,GA,74985.0,789813
20200627,HI,866.0,74301
20200627,IA,28012.0,289752
20200627,ID,5148.0,84056
20200627,IL,142130.0,1522242
20200627,IN,44575.0,463017
20200627,KS,13538.0,167859
20200627,KY,14859.0,350754
20200627,LA,54769.0,678006
20200627,MA,108443.0,826342
20200627,MD,66450.0,513816
20200627,ME,3154.0,91932
20200627,MI,69679.0,1000821
20200627,MN,35033.0,568907
20200627,MO,20261.0,355290
20200627,MS,25531.0,277321
20200627,MT,852.0,81247
20200627,NC,60537.0,855131
20200627,ND,3458.0,102519
20200627,NE,18524.0,168598
20200627,NH,5671.0,114768
20200627,NJ,170873.0,1367250
20200627,NM,11408.0,320638
20200627,NV,16339.0,263026
20200627,NY,391923.0,3754579
20200627,OH,49455.0,744839
20200627,OK,12642.0,325663
20200627,OR,7818.0,216868
20200627,PA,84370.0,719081
20200627,RI,16661.0,230508
20200627,SC,31939.0,351164
20200627,SD,6626.0,78100
20200627,TN,40172.0,748553
20200627,TX,143371.0,1722826
20200627,UT,20628.0,322802
20200627,VA,61247.0,617926
20200627,VT,1200.0,62723
20200627,WA,30855.0,514428
20200627,WI,30227.0,545950
20200627,WV,2761.0,164655
20200627,WY,1392.0,31798
20200626,AK,836.0,101792
20200626,AL,34183.0,378323
20200626,AR,18062.0,277380
20200626,AZ,66548.0,479823
20200626,CA,200461.0,3771314
20200626,CO,31479.0,302577
20200626,CT,46059.0,416862
20200626,DE,11017.0,102100
20200626,FL,122960.0,1768885
20200626,GA,72995.0,771028
20200626,HI,850.0,73005
20200626,IA,27686.0,283643
20200626,ID,4865.0,82370
20200626,IL,141344.0,1492005
20200626,IN,44140.0,453890
20200626,KS,13538.0,167859
20200626,KY,14859.0,350754
20200626,LA,54769.0,678006
20200626,MA,108070.0,814085
20200626,MD,66115.0,506397
20200626,ME,3102.0,89854
20200626,MI,69329.0,981706
20200626,MN,34616.0,557278
20200626,MO,19914.0,348618
20200626,MS,25066.0,271894
20200626,MT,829.0,80161
20200626,NC,58818.0,836725
20200626,ND,3421.0,100886
20200626,NE,18346.0,165002
20200626,NH,5671.0,114768
20200626,NJ,170584.0,1346672
20200626,NM,11192.0,314670
20200626,NV,15240.0,258662
20200626,NY,391220.0,3681317
20200626,OH,48638.0,721552
20200626,OK,12343.0,310777
20200626,OR,7818.0,216868
20200626,PA,84370.0,719081
20200626,RI,16661.0,230508
20200626,SC,30335.0,334671
20200626,SD,6535.0,77015
20200626,TN,39444.0,742032
20200626,TX,137624.0,1697334
20200626,UT,20050.0,317568
20200626,VA,60570.0,606463
20200626,VT,1198.0,61589
20200626,WA,30367.0,505795
20200626,WI,29668.0,536836
20200626,WV,2712.0,161957
20200626,WY,1368.0,31774
20200625,AK,816.0,99452
20200625,AL,33206.0,369458
20200625,AR,18062.0,277380
20200625,AZ,63030.0,464196
20200625,CA,195571.0,3694345
20200625,CO,31155.0,296065
20200625,CT,45994.0,408943
20200625,DE,10980.0,100992
20200625,FL,114018.0,1720644
20200625,GA,71095.0,757924
20200625,HI,835.0,71935
20200625,IA,27197.0,277054
20200625,ID,4645.0,80539
20200625,IL,140434.0,1461527
20200625,IN,43655.0,444252
20200625,KS,12970.0,161705
20200625,KY,14617.0,342882
20200625,LA,53415.0,660665
20200625,MA,107837.0,805456
20200625,MD,65777.0,498959
20200625,ME,3070.0,87598
20200625,MI,68989.0,962839
20200625,MN,34123.0,542696
20200625,MO,19421.0,341648
20200625,MS,24516.0,265997
20200625,MT,803.0,78332
20200625,NC,57183.0,811278
20200625,ND,3393.0,99444
20200625,NE,18221.0,163170
20200625,NH,5598.0,111566
20200625,NJ,170196.0,1320910
20200625,NM,10990.0,308105
20200625,NV,14859.0,255550
20200625,NY,390415.0,3619594
20200625,OH,47651.0,699630
20200625,OK,11948.0,304965
20200625,OR,7568.0,216618
20200625,PA,83770.0,704801
20200625,RI,16640.0,228140
20200625,SC,29022.0,333358
20200625,SD,6479.0,75854
20200625,TN,38034.0,727549
20200625,TX,131917.0,1659340
20200625,UT,19374.0,312054
20200625,VA,59946.0,592966
20200625,VT,1191.0,60709
20200625,WA,29869.0,495498
20200625,WI,29105.0,527666
20200625,WV,2661.0,158704
20200625,WY,1326.0,30195
20200624,AK,792.0,96096
20200624,AL,32064.0,358759
20200624,AR,17375.0,271866
20200624,AZ,59974.0,449188
20200624,CA,190222.0,3592899
20200624,CO,30893.0,290834
20200624,CT,45913.0,402350
20200624,DE,10889.0,98201
20200624,FL,109014.0,1668342
20200624,GA,69381.0,743234
20200624,HI,819.0,70539
20200624,IA,26705.0,269959
20200624,ID,4402.0,77835
